nom,code,codeDepartement,codeRegion,population,lat,lon
Bressolles,01062,01,84,1003,45.8714,5.0984
Brion,01063,01,84,591,46.1689,5.5477
Briord,01064,01,84,1102,45.768,5.4832
Buellas,01065,01,84,1884,46.2116,5.1468
La Burbanche,01066,01,84,97,45.8629,5.548
Ceignes,01067,01,84,263,46.1258,5.4957
Cerdon,01068,01,84,755,46.075,5.4755
Certines,01069,01,84,1518,46.1336,5.2638
Cessy,01071,01,84,5570,46.3157,6.082
Ceyzériat,01072,01,84,3306,46.1822,5.3191
Ceyzérieu,01073,01,84,1028,45.8368,5.7197
Chalamont,01074,01,84,2544,46.0149,5.1735
Chaleins,01075,01,84,1436,46.0361,4.7999
Chaley,01076,01,84,127,45.9511,5.5408
Challes-la-Montagne,01077,01,84,185,46.1237,5.456
Challex,01078,01,84,1628,46.1765,5.9735
Champagne-en-Valromey,01079,01,84,826,45.9317,5.6921
Champdor-Corcelles,01080,01,84,655,46.0371,5.5882
Champfromier,01081,01,84,709,46.2264,5.8216
Chanay,01082,01,84,595,46.0024,5.7674
Chaneins,01083,01,84,1041,46.0947,4.8517
Chanoz-Châtenay,01084,01,84,943,46.1868,5.0302
La Chapelle-du-Châtelard,01085,01,84,391,46.0683,5.0174
Charix,01087,01,84,280,46.1893,5.6773
Charnoz-sur-Ain,01088,01,84,925,45.8756,5.2251
Château-Gaillard,01089,01,84,2408,45.9723,5.3091
Châtenay,01090,01,84,358,46.0276,5.2085
Châtillon-la-Palud,01092,01,84,1675,45.9757,5.246
Châtillon-sur-Chalaronne,01093,01,84,5154,46.1264,4.9549
Chavannes-sur-Reyssouze,01094,01,84,746,46.4403,5.0069
Nivigne et Suran,01095,01,84,822,46.2824,5.4323
Chaveyriat,01096,01,84,1057,46.1991,5.0534
Chazey-Bons,01098,01,84,1165,45.8007,5.6678
Chazey-sur-Ain,01099,01,84,1613,45.8937,5.2604
Cheignieu-la-Balme,01100,01,84,130,45.8233,5.6022
Chevillard,01101,01,84,149,46.1087,5.5815
Chevroux,01102,01,84,981,46.3822,4.9598
Chevry,01103,01,84,2301,46.2841,6.0474
Chézery-Forens,01104,01,84,436,46.2244,5.8693
Civrieux,01105,01,84,1986,45.9208,4.8895
Cize,01106,01,84,175,46.2015,5.45
Cleyzieu,01107,01,84,144,45.9027,5.4317
Coligny,01108,01,84,1294,46.3889,5.3352
Collonges,01109,01,84,2260,46.1397,5.9007
Colomieu,01110,01,84,164,45.7338,5.6269
Conand,01111,01,84,136,45.8836,5.4787
Condamine,01112,01,84,477,46.1056,5.5596
Condeissiat,01113,01,84,815,46.1541,5.0863
Confort,01114,01,84,676,46.1536,5.8358
Confrançon,01115,01,84,1357,46.2732,5.06
Contrevoz,01116,01,84,489,45.7971,5.6164
Conzieu,01117,01,84,148,45.7246,5.602
Corbonod,01118,01,84,1315,45.9668,5.7902
Corlier,01121,01,84,116,46.0369,5.5003
Cormoranche-sur-Saône,01123,01,84,1165,46.2459,4.8305
Cormoz,01124,01,84,704,46.4375,5.2209
Corveissiat,01125,01,84,587,46.2514,5.4771
Courmangoux,01127,01,84,513,46.3243,5.3585
Courtes,01128,01,84,293,46.4564,5.1128
Crans,01129,01,84,316,45.9667,5.1917
Bresse Vallons,01130,01,84,2393,46.3271,5.1822
Cressin-Rochefort,01133,01,84,384,45.7833,5.765
Crottet,01134,01,84,1844,46.2848,4.876
Crozet,01135,01,84,2354,46.2906,5.9929
Cruzilles-lès-Mépillat,01136,01,84,951,46.2233,4.876
Culoz-Béon,01138,01,84,3416,45.8553,5.7716
Curciat-Dongalon,01139,01,84,462,46.4883,5.1666
Curtafond,01140,01,84,805,46.2742,5.1051
Cuzieu,01141,01,84,423,45.8216,5.6802
Dagneux,01142,01,84,4741,45.854,5.0748
Divonne-les-Bains,01143,01,84,10300,46.3754,6.1114
Dompierre-sur-Veyle,01145,01,84,1225,46.0672,5.2167
Dompierre-sur-Chalaronne,01146,01,84,453,46.142,4.9004
Domsure,01147,01,84,540,46.4211,5.2945
Dortan,01148,01,84,2013,46.3184,5.6443
Douvres,01149,01,84,1108,45.9847,5.3724
Drom,01150,01,84,215,46.2202,5.3674
Druillat,01151,01,84,1144,46.0691,5.2947
Échallon,01152,01,84,774,46.2293,5.7346
Échenevex,01153,01,84,2227,46.3197,6.018
Évosges,01155,01,84,143,45.963,5.5008
Faramans,01156,01,84,905,45.9086,5.126
Fareins,01157,01,84,2524,46.0235,4.7682
Farges,01158,01,84,1065,46.1657,5.9054
Feillens,01159,01,84,3388,46.3393,4.8866
Ferney-Voltaire,01160,01,84,11530,46.252,6.1061
Flaxieu,01162,01,84,64,45.8125,5.7466
Foissiat,01163,01,84,2024,46.3792,5.1851
Francheleins,01165,01,84,1593,46.0707,4.8111
Frans,01166,01,84,2547,45.9905,4.7819
Garnerans,01167,01,84,685,46.2124,4.8289
Genouilleux,01169,01,84,675,46.1211,4.7926
Béard-Géovreissiat,01170,01,84,1048,46.1884,5.5497
Géovreisset,01171,01,84,843,46.2518,5.6163
Gex,01173,01,84,13455,46.3515,6.0488
Giron,01174,01,84,174,46.2209,5.7891
Gorrevod,01175,01,84,782,46.4157,4.9507
Grand-Corent,01177,01,84,186,46.2089,5.4388
Grièges,01179,01,84,1909,46.2669,4.8475
Grilly,01180,01,84,873,46.3318,6.1139
Groissiat,01181,01,84,1216,46.227,5.6179
Guéreins,01183,01,84,1503,46.106,4.7839
Hautecourt-Romanèche,01184,01,84,754,46.1592,5.4311
Plateau d'Hauteville,01185,01,84,4790,45.9305,5.5775
Haut Valromey,01187,01,84,603,46.0436,5.6846
Illiat,01188,01,84,696,46.1838,4.8884
Injoux-Génissiat,01189,01,84,1123,46.0505,5.7678
Innimond,01190,01,84,92,45.7875,5.5723
Izenave,01191,01,84,159,46.038,5.5234
Izernore,01192,01,84,2262,46.216,5.5609
Izieu,01193,01,84,223,45.6555,5.6387
Jassans-Riottier,01194,01,84,6315,45.9771,4.7626
Jasseron,01195,01,84,1900,46.2176,5.317
Jayat,01196,01,84,1276,46.3698,5.1117
Journans,01197,01,84,384,46.1455,5.3333
Joyeux,01198,01,84,262,45.946,5.0998
Jujurieux,01199,01,84,2209,46.0503,5.4122
Labalme,01200,01,84,207,46.0915,5.4945
Lagnieu,01202,01,84,7321,45.8863,5.3396
Laiz,01203,01,84,1292,46.2462,4.9006
Le Poizat-Lalleyriat,01204,01,84,740,46.1392,5.6955
Lantenay,01206,01,84,265,46.0531,5.5379
Lapeyrouse,01207,01,84,337,45.9849,4.9821
Lavours,01208,01,84,138,45.8108,5.7707
Léaz,01209,01,84,887,46.1114,5.8768
Lélex,01210,01,84,236,46.2856,5.9274
Lent,01211,01,84,1459,46.1165,5.1974
Lescheroux,01212,01,84,720,46.4089,5.1573
Leyment,01213,01,84,1417,45.9287,5.2927
Leyssard,01214,01,84,163,46.1605,5.4767
Surjoux-Lhopital,01215,01,84,140,46.0302,5.7666
Lhuis,01216,01,84,891,45.7469,5.5398
Lompnas,01219,01,84,162,45.8118,5.5263
Loyettes,01224,01,84,3468,45.7953,5.2163
Lurcy,01225,01,84,404,46.0628,4.7802
Magnieu,01227,01,84,651,45.7763,5.7197
Maillat,01228,01,84,693,46.1204,5.535
Malafretaz,01229,01,84,1235,46.3299,5.1462
Mantenay-Montlin,01230,01,84,320,46.4318,5.1064
Manziat,01231,01,84,1985,46.3651,4.9026
Marboz,01232,01,84,2262,46.3452,5.2461
Marchamp,01233,01,84,135,45.7762,5.5509
Marignieu,01234,01,84,164,45.8023,5.718
Marlieux,01235,01,84,1186,46.0542,5.0756
Marsonnas,01236,01,84,1034,46.3401,5.0608
Martignat,01237,01,84,1667,46.203,5.6099
Massieux,01238,01,84,2733,45.9101,4.8279
Massignieu-de-Rives,01239,01,84,653,45.7564,5.7566
Matafelon-Granges,01240,01,84,630,46.2505,5.5272
Meillonnas,01241,01,84,1383,46.2451,5.3347
Mérignat,01242,01,84,133,46.065,5.4425
Messimy-sur-Saône,01243,01,84,1312,46.048,4.7609
Meximieux,01244,01,84,8198,45.9047,5.2116
Bohas-Meyriat-Rignat,01245,01,84,951,46.1422,5.375
Mézériat,01246,01,84,2179,46.2424,5.0481
Mijoux,01247,01,84,297,46.3593,6.0106
Mionnay,01248,01,84,2309,45.8959,4.9274
Miribel,01249,01,84,10450,45.8444,4.941
Misérieux,01250,01,84,2010,45.9745,4.8138
Mogneneins,01252,01,84,824,46.1454,4.8203
Montagnat,01254,01,84,2164,46.172,5.2776
Montagnieu,01255,01,84,684,45.802,5.4598
Montanges,01257,01,84,348,46.171,5.7903
Montceaux,01258,01,84,1202,46.0978,4.8041
Montcet,01259,01,84,715,46.2199,5.1123
Le Montellier,01260,01,84,329,45.9284,5.0699
Monthieux,01261,01,84,673,45.9631,4.948
Montluel,01262,01,84,6879,45.8868,5.0185
Montmerle-sur-Saône,01263,01,84,3798,46.0843,4.759
Montracol,01264,01,84,1008,46.182,5.1234
Montréal-la-Cluse,01265,01,84,3584,46.181,5.5976
Montrevel-en-Bresse,01266,01,84,2661,46.3262,5.1122
Nurieux-Volognat,01267,01,84,973,46.1855,5.5155
Murs-et-Gélignieux,01268,01,84,239,45.6404,5.6585
Nantua,01269,01,84,3431,46.1486,5.6079
Neuville-les-Dames,01272,01,84,1540,46.1599,5.0103
Neuville-sur-Ain,01273,01,84,1798,46.0909,5.3702
Les Neyrolles,01274,01,84,623,46.1367,5.6354
Neyron,01275,01,84,2479,45.8204,4.9356
Niévroz,01276,01,84,1648,45.8241,5.0615
Nivollet-Montgriffon,01277,01,84,119,46.0002,5.4567
Oncieu,01279,01,84,72,45.9685,5.4716
Ordonnaz,01280,01,84,146,45.8357,5.5439
Ornex,01281,01,84,4903,46.2779,6.0953
Outriaz,01282,01,84,258,46.0631,5.5543
Oyonnax,01283,01,84,22378,46.2599,5.6517
Ozan,01284,01,84,721,46.3863,4.9191
Parcieux,01285,01,84,1317,45.9197,4.8299
Parves et Nattages,01286,01,84,943,45.7318,5.7495
Péron,01288,01,84,2900,46.1933,5.9141
Péronnas,01289,01,84,6437,46.1693,5.2195
Pérouges,01290,01,84,1382,45.8789,5.1791
Perrex,01291,01,84,861,46.2462,4.9718
Peyriat,01293,01,84,150,46.1486,5.506
Peyrieu,01294,01,84,918,45.674,5.6829
Peyzieux-sur-Saône,01295,01,84,656,46.1227,4.8192
Pirajoux,01296,01,84,400,46.386,5.2703
Pizay,01297,01,84,922,45.8906,5.0901
Plagne,01298,01,84,166,46.1889,5.7179
Le Plantay,01299,01,84,569,46.0236,5.0891
Polliat,01301,01,84,2694,46.2504,5.1355
Pollieu,01302,01,84,167,45.7953,5.7463
Poncin,01303,01,84,1766,46.0918,5.4129
Pont-d'Ain,01304,01,84,2862,46.0556,5.3491
Pont-de-Vaux,01305,01,84,2184,46.4415,4.9265
Pont-de-Veyle,01306,01,84,1600,46.2647,4.8818
Port,01307,01,84,843,46.1535,5.581
Pougny,01308,01,84,792,46.1457,5.9492
Pouillat,01309,01,84,79,46.3263,5.4243
Prémeyzel,01310,01,84,245,45.6827,5.6423
Prémillieu,01311,01,84,47,45.8785,5.5657
Prévessin-Moëns,01313,01,84,9081,46.2594,6.0722
Priay,01314,01,84,1803,46.019,5.2829
Ramasse,01317,01,84,332,46.1893,5.3569
Rancé,01318,01,84,760,45.9674,4.8665
Relevant,01319,01,84,467,46.0808,4.9399
Replonges,01320,01,84,3929,46.307,4.8784
Revonnas,01321,01,84,905,46.1637,5.3351
Reyrieux,01322,01,84,5228,45.9368,4.8314
Reyssouze,01323,01,84,1003,46.4284,4.9145
Rignieux-le-Franc,01325,01,84,1131,45.9513,5.1675
Romans,01328,01,84,628,46.1216,5.0217
Rossillon,01329,01,84,164,45.8359,5.5987
Saint-Alban,01331,01,84,195,46.0968,5.4568
Saint-André-de-Bâgé,01332,01,84,819,46.2975,4.9132
Saint-André-de-Corcy,01333,01,84,3369,45.9287,4.9529
Saint-André-d'Huiriat,01334,01,84,671,46.2163,4.9144
Saint-André-le-Bouchoux,01335,01,84,427,46.1137,5.0775
Saint-André-sur-Vieux-Jonc,01336,01,84,1216,46.15,5.143
Saint-Bénigne,01337,01,84,1351,46.4517,4.952
Groslée-Saint-Benoit,01338,01,84,1232,45.7011,5.5823
Saint-Bernard,01339,01,84,1544,45.95,4.7419
Sainte-Croix,01342,01,84,548,45.8978,5.0477
Saint-Cyr-sur-Menthon,01343,01,84,1867,46.2751,4.9669
Saint-Denis-lès-Bourg,01344,01,84,6078,46.2097,5.1825
Saint-Denis-en-Bugey,01345,01,84,2258,45.9497,5.326
Saint-Didier-d'Aussiat,01346,01,84,845,46.3075,5.0536
Saint-Didier-de-Formans,01347,01,84,2176,45.9587,4.7767
Saint-Didier-sur-Chalaronne,01348,01,84,2969,46.1877,4.823
Saint-Éloi,01349,01,84,524,45.9343,5.1507
Saint-Étienne-du-Bois,01350,01,84,2569,46.2755,5.2793
Saint-Étienne-sur-Chalaronne,01351,01,84,1625,46.1451,4.8694
Saint-Étienne-sur-Reyssouze,01352,01,84,576,46.3998,5.0031
Sainte-Euphémie,01353,01,84,1741,45.9651,4.7927
Saint-Genis-Pouilly,01354,01,84,14584,46.2556,6.0368
Saint-Genis-sur-Menthon,01355,01,84,488,46.281,5.0162
Saint-Georges-sur-Renon,01356,01,84,214,46.1033,5.0286
Saint-Germain-de-Joux,01357,01,84,505,46.1812,5.7435
Saint-Germain-les-Paroisses,01358,01,84,423,45.773,5.6191
Saint-Germain-sur-Renon,01359,01,84,262,46.0764,5.0626
Saint-Jean-de-Gonville,01360,01,84,2042,46.2184,5.9395
Saint-Jean-de-Niost,01361,01,84,1862,45.8384,5.2066
Saint-Jean-de-Thurigneux,01362,01,84,850,45.9597,4.8959
Saint-Jean-le-Vieux,01363,01,84,1799,46.028,5.3799
Saint-Jean-sur-Reyssouze,01364,01,84,764,46.3912,5.0582
Saint-Jean-sur-Veyle,01365,01,84,1154,46.2687,4.9203
Sainte-Julie,01366,01,84,1092,45.8802,5.2837
Saint-Julien-sur-Reyssouze,01367,01,84,687,46.3977,5.1062
Saint-Julien-sur-Veyle,01368,01,84,853,46.2072,4.9559
Saint-Just,01369,01,84,953,46.1948,5.285
Saint-Laurent-sur-Saône,01370,01,84,1735,46.3053,4.8395
Saint-Marcel,01371,01,84,1300,45.9485,4.9862
Saint-Martin-de-Bavel,01372,01,84,431,45.8467,5.6779
Saint-Martin-du-Frêne,01373,01,84,1027,46.1345,5.5711
Saint-Martin-du-Mont,01374,01,84,1953,46.1063,5.33
Saint-Martin-le-Châtel,01375,01,84,784,46.2903,5.1206
Saint-Maurice-de-Beynost,01376,01,84,4243,45.8325,4.9763
Saint-Maurice-de-Gourdans,01378,01,84,2826,45.819,5.172
Saint-Maurice-de-Rémens,01379,01,84,758,45.9542,5.2706
Saint-Nizier-le-Bouchoux,01380,01,84,589,46.4549,5.1716
Saint-Nizier-le-Désert,01381,01,84,922,46.0518,5.1471
Sainte-Olive,01382,01,84,357,46.0147,4.9349
Saint-Paul-de-Varax,01383,01,84,1637,46.0949,5.1309
Saint-Rambert-en-Bugey,01384,01,84,2179,45.953,5.4418
Saint-Rémy,01385,01,84,922,46.1857,5.1646
Saint-Sorlin-en-Bugey,01386,01,84,1140,45.8863,5.369
Saint-Sulpice,01387,01,84,259,46.3215,5.0406
Saint-Trivier-de-Courtes,01388,01,84,1122,46.458,5.0672
Saint-Trivier-sur-Moignans,01389,01,84,1910,46.0632,4.8984
Saint-Vulbas,01390,01,84,1229,45.8234,5.267
Salavre,01391,01,84,295,46.363,5.3457
Samognat,01392,01,84,645,46.2732,5.5826
Sandrans,01393,01,84,578,46.0709,4.9824
Sault-Brénaz,01396,01,84,1007,45.8612,5.4007
Sauverny,01397,01,84,1003,46.3132,6.1102
Savigneux,01398,01,84,1459,45.9946,4.8559
Ségny,01399,01,84,2676,46.2944,6.0732
Seillonnaz,01400,01,84,136,45.8006,5.504
Sergy,01401,01,84,2279,46.2615,5.9872
Sermoyer,01402,01,84,659,46.4987,4.9733
Serrières-de-Briord,01403,01,84,1329,45.8129,5.4424
Serrières-sur-Ain,01404,01,84,135,46.149,5.4472
Servas,01405,01,84,1287,46.1366,5.1845
Servignat,01406,01,84,180,46.4354,5.0587
Seyssel,01407,01,84,997,45.9477,5.8257
Simandre-sur-Suran,01408,01,84,664,46.235,5.4214
Sonthonnax-la-Montagne,01410,01,84,287,46.2235,5.5015
Souclin,01411,01,84,263,45.8811,5.4368
Sulignat,01412,01,84,605,46.1727,4.9601
Talissieu,01415,01,84,514,45.8627,5.7199
Tenay,01416,01,84,1024,45.9222,5.5147
Thil,01418,01,84,1208,45.8184,5.0189
Thoiry,01419,01,84,6356,46.2448,5.9685
Thoissey,01420,01,84,1644,46.1697,4.7963
Torcieu,01421,01,84,744,45.9189,5.4056
Tossiat,01422,01,84,1389,46.1355,5.3076
Toussieux,01423,01,84,1228,45.961,4.8289
Tramoyes,01424,01,84,1845,45.8742,4.9624
La Tranclière,01425,01,84,288,46.0915,5.2656
Val-Revermont,01426,01,84,2494,46.2816,5.3537
Trévoux,01427,01,84,6931,45.9398,4.771
Valeins,01428,01,84,131,46.1145,4.8646
Vandeins,01429,01,84,725,46.2155,5.0786
Varambon,01430,01,84,664,46.0443,5.2909
Vaux-en-Bugey,01431,01,84,1218,45.9184,5.3612
Verjon,01432,01,84,343,46.3466,5.3472
Vernoux,01433,01,84,296,46.4861,5.1036
Versailleux,01434,01,84,500,45.9883,5.115
Versonnex,01435,01,84,2222,46.2992,6.1008
Vesancy,01436,01,84,513,46.3634,6.0856
Vescours,01437,01,84,215,46.4743,5.0286
Vésines,01439,01,84,97,46.3593,4.8638
Vieu-d'Izenave,01441,01,84,727,46.0823,5.5555
Villars-les-Dombes,01443,01,84,5059,46.0,5.0443
Villebois,01444,01,84,1200,45.8499,5.4483
Villemotier,01445,01,84,607,46.3418,5.3087
Villeneuve,01446,01,84,1603,46.0346,4.8598
Villereversure,01447,01,84,1391,46.1939,5.3936
Villes,01448,01,84,390,46.0952,5.7598
Villette-sur-Ain,01449,01,84,763,46.0125,5.254
Villieu-Loyes-Mollon,01450,01,84,3831,45.929,5.2265
Viriat,01451,01,84,6955,46.2522,5.2257
Virieu-le-Grand,01452,01,84,1110,45.8465,5.639
Arvière-en-Valromey,01453,01,84,715,45.9153,5.7346
Virignin,01454,01,84,1122,45.7282,5.7149
Vongnes,01456,01,84,71,45.8122,5.7255
Vonnas,01457,01,84,3233,46.2132,4.9945
Abbécourt,02001,02,32,513,49.5997,3.1824
Achery,02002,02,32,586,49.6935,3.3974
Acy,02003,02,32,1013,49.3476,3.4188
Agnicourt-et-Séchelles,02004,02,32,188,49.7172,3.9637
Aguilcourt,02005,02,32,405,49.3953,3.9663
Aisonville-et-Bernoville,02006,02,32,257,49.9313,3.5121
Aizelles,02007,02,32,119,49.4865,3.8211
Aizy-Jouy,02008,02,32,308,49.4372,3.5128
Alaincourt,02009,02,32,522,49.7681,3.3692
Allemant,02010,02,32,166,49.4639,3.4591
Ambleny,02011,02,32,1203,49.3741,3.1681
Ambrief,02012,02,32,81,49.3226,3.4058
Amifontaine,02013,02,32,386,49.4977,3.9218
Amigny-Rouy,02014,02,32,710,49.6111,3.3059
Ancienville,02015,02,32,78,49.2196,3.2065
Andelain,02016,02,32,211,49.6428,3.3686
Anguilcourt-le-Sart,02017,02,32,281,49.6971,3.424
Anizy-le-Grand,02018,02,32,2510,49.5159,3.4426
Annois,02019,02,32,352,49.7122,3.1761
Any-Martin-Rieux,02020,02,32,455,49.8851,4.219
Archon,02021,02,32,77,49.7444,4.1176
Arcy-Sainte-Restitue,02022,02,32,398,49.2557,3.4776
Armentières-sur-Ourcq,02023,02,32,98,49.1731,3.3916
Arrancy,02024,02,32,45,49.4985,3.7647
Artemps,02025,02,32,363,49.7623,3.196
Assis-sur-Serre,02027,02,32,203,49.6788,3.5547
Athies-sous-Laon,02028,02,32,2600,49.5754,3.6905
Attilly,02029,02,32,345,49.8557,3.1533
Aubencheul-aux-Bois,02030,02,32,243,50.0248,3.2614
Aubenton,02031,02,32,659,49.8254,4.1928
Aubigny-aux-Kaisnes,02032,02,32,239,49.7724,3.1167
Aubigny-en-Laonnois,02033,02,32,101,49.495,3.7921
Audignicourt,02034,02,32,110,49.4779,3.1268
Audigny,02035,02,32,282,49.8651,3.6314
Augy,02036,02,32,68,49.3405,3.5117
Aulnois-sous-Laon,02037,02,32,1366,49.6213,3.6111
Les Autels,02038,02,32,63,49.7603,4.224
Autremencourt,02039,02,32,175,49.7042,3.7931
Autreppes,02040,02,32,176,49.8963,3.8571
Autreville,02041,02,32,791,49.5878,3.2378
Azy-sur-Marne,02042,02,32,370,49.0061,3.3575
Bagneux,02043,02,32,62,49.4595,3.2776
Bancigny,02044,02,32,25,49.7997,4.0383
Barenton-Bugny,02046,02,32,556,49.6217,3.6612
Barenton-Cel,02047,02,32,108,49.6466,3.6448
Barenton-sur-Serre,02048,02,32,128,49.6682,3.6929
Barisis-aux-Bois,02049,02,32,746,49.5814,3.332
Barzy-en-Thiérache,02050,02,32,317,50.0378,3.7522
Barzy-sur-Marne,02051,02,32,399,49.09,3.5586
Bassoles-Aulers,02052,02,32,130,49.5328,3.3828
Vallées en Champagne,02053,02,32,590,49.0009,3.6203
Bazoches-et-Saint-Thibaut,02054,02,32,517,49.2991,3.6184
Beaumé,02055,02,32,84,49.8187,4.1529
Beaumont-en-Beine,02056,02,32,172,49.6876,3.1317
Beaurevoir,02057,02,32,1324,49.9965,3.332
Beaurieux,02058,02,32,813,49.4029,3.7594
Beautor,02059,02,32,2625,49.6472,3.3361
Beauvois-en-Vermandois,02060,02,32,257,49.8331,3.1023
Becquigny,02061,02,32,263,50.0143,3.458
Belleau,02062,02,32,133,49.0803,3.3036
Bellenglise,02063,02,32,379,49.9241,3.2431
Belleu,02064,02,32,3624,49.3597,3.3439
Bellicourt,02065,02,32,561,49.9581,3.2284
Benay,02066,02,32,188,49.7556,3.3076
Bergues-sur-Sambre,02067,02,32,206,50.03,3.7114
Berlancourt,02068,02,32,81,49.7799,3.757
Berlise,02069,02,32,104,49.6628,4.1104
Bernot,02070,02,32,434,49.8827,3.4827
Berny-Rivière,02071,02,32,633,49.4118,3.152
Berrieux,02072,02,32,177,49.4828,3.8531
Berry-au-Bac,02073,02,32,720,49.4076,3.8947
Bertaucourt-Epourdon,02074,02,32,586,49.6283,3.3988
Berthenicourt,02075,02,32,198,49.7787,3.373
Bertricourt,02076,02,32,154,49.3975,4.0116
Besmé,02078,02,32,166,49.5348,3.1657
Besmont,02079,02,32,137,49.8209,4.116
Besny-et-Loizy,02080,02,32,314,49.5914,3.5778
Béthancourt-en-Vaux,02081,02,32,425,49.6274,3.1376
Beugneux,02082,02,32,117,49.2243,3.4187
Beuvardes,02083,02,32,741,49.1278,3.4884
Bézu-le-Guéry,02084,02,32,250,49.0101,3.2283
Bézu-Saint-Germain,02085,02,32,991,49.1045,3.4082
Bichancourt,02086,02,32,989,49.5787,3.2135
Bieuxy,02087,02,32,34,49.4469,3.2687
Bièvres,02088,02,32,80,49.4923,3.7141
Billy-sur-Aisne,02089,02,32,1141,49.3555,3.3753
Billy-sur-Ourcq,02090,02,32,195,49.2233,3.301
Blanzy-lès-Fismes,02091,02,32,91,49.3378,3.6702
Blérancourt,02093,02,32,1212,49.51,3.149
Blesmes,02094,02,32,473,49.0258,3.4628
Bohain-en-Vermandois,02095,02,32,5724,49.9887,3.464
Bois-lès-Pargny,02096,02,32,188,49.7383,3.6567
Boncourt,02097,02,32,270,49.6287,3.9553
Bonneil,02098,02,32,376,49.0077,3.3476
Bonnesvalyn,02099,02,32,207,49.1235,3.3273
Bony,02100,02,32,139,49.9896,3.218
Bosmont-sur-Serre,02101,02,32,171,49.7381,3.8664
Bouconville-Vauclair,02102,02,32,184,49.4606,3.7609
Boué,02103,02,32,1316,50.0101,3.7126
Bouffignereux,02104,02,32,95,49.3776,3.847
Bouresches,02105,02,32,187,49.0665,3.3191
Bourg-et-Comin,02106,02,32,809,49.4038,3.6565
Bourguignon-sous-Coucy,02107,02,32,104,49.5417,3.1579
Bourguignon-sous-Montbavin,02108,02,32,146,49.528,3.5389
La Bouteille,02109,02,32,468,49.8738,3.9602
Braine,02110,02,32,2243,49.3488,3.5357
Brancourt-en-Laonnois,02111,02,32,710,49.517,3.4128
Brancourt-le-Grand,02112,02,32,558,49.9798,3.3956
Brasles,02114,02,32,1711,49.0579,3.4195
Braye-en-Laonnois,02115,02,32,189,49.437,3.6096
Braye-en-Thiérache,02116,02,32,133,49.7665,3.9623
Bray-Saint-Christophe,02117,02,32,65,49.7738,3.142
Braye,02118,02,32,130,49.4222,3.3769
Brécy,02119,02,32,317,49.1402,3.4263
Brenelle,02120,02,32,194,49.3694,3.5459
Breny,02121,02,32,219,49.1826,3.3513
