nom;population;plus60ans;pct_15_29;pct_30_44;pct_45_59;pct_maison;pct_appartement;revenuMedian;tauxProprietaires;region;zoneChalandise;departement;lat;lon;score
LAHAYVILLE;0;33.0;14.8;19.3;20.6;85;15;25800;64;LORRAINE;431;55;48.8922156555;5.76968506389;87
LESPOURCY;200;34.9;12.1;15.9;24.2;87;13;24800;66;AQUITAINE;399;64;43.3596787562;-0.154631315094;87
MOREAC;3700;33.4;12.3;20.1;22.0;85;15;24000;65;BRETAGNE;421;56;47.9328057263;-2.80381737947;87
LE BREUIL-BERNARD;500;33.6;15.8;17.1;20.4;76;24;25300;69;POITOU-CHARENTES;428;79;46.7138106631;-0.556791561272;87
CONDOM-D'AUBRAC;300;34.9;14.0;19.0;21.4;85;15;23600;64;MIDI-PYRENEES;424;12;44.6054295973;2.88073175235;87
SAINT-PRIEST-LA-PLAINE;300;34.6;14.0;21.8;21.9;79;21;25400;66;LIMOUSIN;407;23;46.2038557137;1.6315718964;87
CHELLES;500;32.8;17.5;16.1;20.4;81;19;25500;64;PICARDIE;426;60;49.3466662796;3.03951779948;87
AUXON;1000;34.7;12.5;19.4;20.1;82;18;24900;68;CHAMPAGNE-ARDENNE;409;10;48.0923181622;3.92346188322;87
BRUCH;800;34.9;15.3;15.5;22.1;88;12;23000;64;AQUITAINE;434;47;44.20662795;0.405442754423;87
SAINT-JEAN-D'ASSE;1400;34.0;16.3;18.7;22.0;78;22;24100;66;PAYS DE LA LOIRE;430;72;48.158356786;0.121471172036;87
SORNAC;800;34.9;14.4;17.3;21.1;83;17;23000;67;LIMOUSIN;434;19;45.6694408619;2.18045644477;87
SUS-SAINT-LEGER;300;33.6;13.6;17.2;21.0;85;15;24600;65;NORD-PAS-DE-CALAIS;443;62;50.2394092727;2.43472712358;87
CHAMPVANS;1400;33.2;14.8;15.4;20.4;90;10;24600;67;FRANCHE-COMTE;438;39;47.1021842612;5.42048711833;87
SAINT-BROING;100;33.4;12.8;20.1;21.2;78;22;25600;67;FRANCHE-COMTE;423;70;47.4552363284;5.67975286287;87
GRANDCHAMP;100;34.7;12.4;20.5;20.5;77;23;25700;58;CHAMPAGNE-ARDENNE;423;52;47.7230166407;5.44612862714;87
MANOIS;500;34.9;14.2;20.8;21.8;78;22;23500;63;CHAMPAGNE-ARDENNE;429;52;48.2657522932;5.37467760517;87
GUAGNO;200;33.5;17.5;20.7;22.6;74;26;25900;65;CORSE;437;2A;42.1783646694;8.98389627863;87
FORSTHEIM;600;34.5;15.0;21.0;23.4;83;17;24400;63;ALSACE;431;67;48.8959541759;7.71097392643;87
SAINT-ROMAIN-LACHALM;1000;34.2;16.9;20.3;22.7;79;21;25800;66;AUVERGNE;408;43;45.2650235989;4.33989066795;87
MONTABON;800;33.2;17.4;21.4;21.3;87;13;25400;68;PAYS DE LA LOIRE;415;72;47.679959995;0.393423951615;87
MONTESQUIEU;800;34.0;13.1;20.2;21.3;80;20;23800;69;MIDI-PYRENEES;429;82;44.1792539863;1.06193133749;87
METZERESCHE;800;34.2;17.5;17.0;20.8;82;18;25500;59;LORRAINE;419;57;49.2949941385;6.30743995125;87
SAINT-JULIEN-EN-BEAUCHENE;100;35.0;16.6;21.4;24.2;82;18;25000;58;PROVENCE-ALPES-COTE D'AZUR;417;05;44.6264570637;5.71979975938;87
VILLEFRANCHE-DU-QUEYRAN;400;33.2;12.9;15.6;24.0;80;20;25900;62;AQUITAINE;427;47;44.3035817658;0.212075905878;87
SAINT-FOLQUIN;2200;33.8;15.6;19.0;21.3;78;22;25100;65;NORD-PAS-DE-CALAIS;443;62;50.9379112392;2.12543329678;87
LE MESNIL-DURDENT;0;34.7;15.3;19.3;24.4;82;18;23600;64;HAUTE-NORMANDIE;430;76;49.81771542;0.771137757772;87
INGRANDES;1800;34.7;14.0;18.8;24.7;73;27;25400;65;POITOU-CHARENTES;422;86;46.8739924084;0.59309229474;87
LANDRECOURT-LEMPIRE;200;34.7;15.0;21.3;22.2;75;25;25400;66;LORRAINE;415;55;49.0991326551;5.32989005207;87
SAINT-AUBIN-LES-FORGES;400;34.3;12.8;18.3;21.9;86;14;24600;66;BOURGOGNE;412;58;47.1430333562;3.18841485018;87
LE BUISSON-DE-CADOUIN;2100;34.8;15.6;18.5;22.8;89;11;24600;61;AQUITAINE;415;24;44.8209697046;0.890058168742;87
PLOGASTEL-SAINT-GERMAIN;1800;34.6;13.0;15.6;20.9;83;17;25900;55;BRETAGNE;436;29;47.9772934585;-4.26371081296;87
LACAPELLE-LIVRON;200;33.1;16.3;20.5;20.1;82;18;24600;68;MIDI-PYRENEES;431;82;44.2719783963;1.79012954535;87
MONTBRON;2200;34.8;15.8;19.1;22.7;78;22;24200;62;POITOU-CHARENTES;418;16;45.667656871;0.504316384558;87
BARINQUE;600;35.0;14.3;19.6;20.6;73;27;24200;67;AQUITAINE;434;64;43.4040350013;-0.269781784045;87
SAINT-LEON-SUR-L'ISLE;2000;34.7;13.9;16.5;23.8;90;10;23200;68;AQUITAINE;438;24;45.1169557791;0.49957697448;87
LE SOURN;2000;33.6;16.8;21.4;22.0;80;20;25100;67;BRETAGNE;410;56;48.0382214758;-2.99470821094;87
COMBRAILLES;200;34.8;15.9;15.1;22.5;89;11;22500;67;AUVERGNE;447;63;45.8408553955;2.64157782279;87
MAURENS-SCOPONT;200;34.9;12.4;18.6;21.8;73;27;25500;63;MIDI-PYRENEES;432;81;43.5965308671;1.81343450611;87
ESSEY;200;34.4;13.8;21.0;24.9;88;12;24100;65;BOURGOGNE;446;21;47.2063506091;4.52226390582;87
LAVANS-LES-SAINT-CLAUDE;1900;33.2;13.5;15.5;20.4;86;14;24300;67;FRANCHE-COMTE;423;39;46.3901726307;5.77719970471;87
SAINTE-MARIE-EN-CHANOIS;200;34.8;17.4;17.4;23.5;71;29;25700;63;FRANCHE-COMTE;426;70;47.8381487494;6.52006378078;87
BRUAY-SUR-L'ESCAUT;12200;34.8;12.5;18.0;24.1;87;13;24600;56;NORD-PAS-DE-CALAIS;429;59;50.3973093421;3.53909152804;87
CHAZELET;100;34.9;17.5;18.0;23.5;84;16;25600;67;CENTRE;395;36;46.5082146993;1.43370852289;87
BRAIZE;300;34.9;16.4;21.0;23.6;78;22;25700;60;AUVERGNE;417;03;46.658636225;2.65427484498;87
LA HOUSSAYE-EN-BRIE;1600;34.9;14.0;21.2;20.6;84;16;25300;63;ILE-DE-FRANCE;409;77;48.756188625;2.86795216078;87
SAINT-MEDARD-D'EYRANS;2700;34.9;14.9;16.3;24.6;87;13;22400;65;AQUITAINE;426;33;44.7113116565;-0.509379859547;87
CESSEY;300;34.5;14.4;16.3;23.5;77;23;24200;69;FRANCHE-COMTE;442;25;47.1132588738;5.92330961673;87
VILLERS-DEVANT-MOUZON;100;34.7;13.2;21.7;21.0;80;20;24700;61;CHAMPAGNE-ARDENNE;430;08;49.6273486226;5.01783217122;87
SAINT-NIZIER-DU-MOUCHEROTTE;1000;34.0;12.6;19.7;21.9;77;23;24300;65;RHONE-ALPES;431;38;45.1653613173;5.63185360757;87
PREMONTRE;800;33.7;14.2;16.4;22.6;89;11;24500;66;PICARDIE;422;02;49.5493580112;3.4177638358;87
BRAYE-EN-THIERACHE;100;34.7;16.5;17.5;22.1;80;20;24300;66;PICARDIE;407;02;49.7675470994;3.96265841899;87
MARCHAINVILLE;200;34.1;17.6;18.1;23.2;90;10;25800;58;BASSE-NORMANDIE;447;61;48.5949543709;0.807483495494;87
PELLEAUTIER;600;33.7;15.1;20.4;23.0;89;11;25800;59;PROVENCE-ALPES-COTE D'AZUR;419;05;44.5102662977;5.99877739937;87
TOURNOISIS;400;33.8;15.6;21.2;20.7;87;13;23800;67;CENTRE;435;45;48.0048588695;1.6244204938;87
LES MATELLES;1600;34.2;13.0;17.3;24.4;90;10;25500;60;LANGUEDOC-ROUSSILLON;441;34;43.7279155498;3.8068218202;87
MANDRES-AUX-QUATRE-TOURS;200;33.8;14.9;18.5;22.4;82;18;25000;63;LORRAINE;448;54;48.8280148948;5.79045735083;87
SUMENE;1600;34.0;16.9;15.0;21.6;88;12;23500;68;LANGUEDOC-ROUSSILLON;420;30;43.9885776737;3.73217518553;87
MEZIERES-AU-PERCHE;100;34.8;15.3;19.6;24.1;72;28;25800;63;CENTRE;431;28;48.2503282821;1.27119066216;87
ESSERTAUX;200;33.2;17.2;19.0;21.7;88;12;25000;66;PICARDIE;442;80;49.7465663966;2.25808683879;87
ABLANCOURT;200;33.4;16.3;17.8;21.1;85;15;24400;66;CHAMPAGNE-ARDENNE;432;51;48.8103417636;4.53084843791;87
MONTAULIEU;100;34.3;12.3;17.3;21.8;87;13;26000;62;RHONE-ALPES;410;26;44.3578984951;5.21799658575;87
LA FORET-AUVRAY;200;33.6;12.1;20.9;24.7;77;23;25300;69;BASSE-NORMANDIE;447;61;48.8060169107;-0.352753800367;87
GUERFAND;200;34.4;14.1;15.5;22.6;85;15;23500;66;BOURGOGNE;418;71;46.782165395;5.02905971383;87
SAINT-PIERRE-DES-CORPS;15400;34.7;15.7;17.5;20.9;81;19;23500;58;CENTRE;444;37;47.3884488197;0.738011772072;87
COIGNIERES;4500;34.8;13.1;18.4;21.6;84;16;24500;69;ILE-DE-FRANCE;410;78;48.7497670046;1.91381870273;87
BREEL;100;35.0;12.7;15.7;20.1;77;23;23200;65;BASSE-NORMANDIE;438;61;48.8110725163;-0.383316878236;87
BAIGNES;100;34.8;13.3;20.6;23.5;80;20;22900;66;FRANCHE-COMTE;448;70;47.5799666192;6.04782245584;87
VINDEFONTAINE;300;34.9;15.3;19.3;22.7;86;14;25200;63;BASSE-NORMANDIE;407;50;49.3413930139;-1.42827947486;87
SIREIX;100;33.7;13.6;21.0;22.9;76;24;25200;64;MIDI-PYRENEES;437;65;42.9660849304;-0.15464025939;87
LA ROCHE-SUR-LE-BUIS;300;33.6;17.6;16.9;21.1;86;14;24800;64;RHONE-ALPES;434;26;44.2625812469;5.34101183886;87
QUERRE;300;33.8;16.1;18.1;24.1;86;14;25700;61;PAYS DE LA LOIRE;442;49;47.6744801615;-0.613825669743;87
BEURIZOT;100;33.0;16.4;16.7;20.2;85;15;25500;66;BOURGOGNE;442;21;47.3555109503;4.49612543597;87
VILLEBOURG;300;34.5;12.0;19.8;24.2;72;28;25700;68;CENTRE;420;37;47.637086362;0.523444509985;87
PLEGUIEN;1200;32.7;14.4;18.3;20.1;86;14;25100;69;BRETAGNE;439;22;48.634729938;-2.948078639;87
GUILLY;700;35.0;13.0;18.0;21.6;74;26;24800;66;CENTRE;441;45;47.8054009428;2.27151487858;87
DUN-SUR-MEUSE;700;34.4;15.5;20.6;20.6;79;21;25400;66;LORRAINE;408;55;49.3830660669;5.19574111404;87
ASPACH;1200;33.5;13.2;18.0;24.5;86;14;25900;60;ALSACE;443;68;47.6424583561;7.23328777965;87
BOISEMONT;700;34.7;15.9;21.7;20.1;80;20;25800;64;ILE-DE-FRANCE;400;95;49.0186866586;2.00384200606;87
BORDS;1300;34.1;13.2;17.7;22.7;90;10;24800;69;POITOU-CHARENTES;415;17;45.8953761527;-0.785050392193;87
SAINT-COUAT-DU-RAZES;100;34.1;14.0;15.7;20.5;81;19;25900;59;LANGUEDOC-ROUSSILLON;444;11;42.9974690927;2.10792269276;87
VIEILLE-BRIOUDE;1200;34.6;13.2;22.0;20.1;83;17;25000;63;AUVERGNE;408;43;45.2509891916;3.40398248919;87
EINVILLE-AU-JARD;1200;34.0;12.1;15.0;21.3;75;25;25100;64;LORRAINE;430;54;48.6558058764;6.4779137062;87
SAINT-AUBIN;300;33.7;16.9;16.9;21.0;90;10;24900;65;BOURGOGNE;436;21;46.9504940966;4.71144303201;87
VERNEUGHEOL;300;33.0;14.8;21.5;21.5;81;19;25500;68;AUVERGNE;436;63;45.7554248044;2.52012470345;87
SANTA-LUCIA-DI-MORIANI;1200;33.7;13.8;19.0;20.8;75;25;25900;69;CORSE;430;2B;42.3840957627;9.51068685295;87
MENIL-FROGER;100;34.7;14.4;19.8;22.2;89;11;24400;61;BASSE-NORMANDIE;421;61;48.7308500818;0.265343668064;87
UNCEY-LE-FRANC;0;33.4;13.8;15.0;23.2;85;15;25500;65;BOURGOGNE;415;21;47.3434622037;4.57522013121;87
BLAIN;9300;34.6;15.3;22.0;22.1;80;20;24400;65;PAYS DE LA LOIRE;408;44;47.4628210409;-1.76789479614;87
AMBAZAC;5400;34.2;12.2;17.7;20.0;88;12;26000;57;LIMOUSIN;414;87;45.9534226621;1.39930873296;87
PESSAT-VILLENEUVE;500;34.6;13.8;20.5;24.1;83;17;24600;61;AUVERGNE;443;63;45.9230389016;3.15822094053;87
TILLE;1100;34.8;17.9;21.7;23.9;81;19;25800;55;PICARDIE;421;60;49.4644718487;2.11782914141;87
HOLTZWIHR;1300;34.7;16.2;16.5;22.7;82;18;25600;69;ALSACE;403;68;48.1164812033;7.41859914847;87
MORSALINES;200;35.0;15.5;18.0;21.1;81;19;23400;66;BASSE-NORMANDIE;426;50;49.5700693753;-1.31780369049;87
LAVAUR;10500;32.2;13.6;21.3;25.0;89;11;25300;64;MIDI-PYRENEES;442;81;43.6895628711;1.79437213708;87
CONTALMAISON;100;34.5;14.8;15.9;24.7;84;16;23900;63;PICARDIE;433;80;50.0293857303;2.73562069227;87
BISSEY-LA-COTE;100;34.1;15.3;21.8;20.4;82;18;25200;66;BOURGOGNE;406;21;47.9115041699;4.70686086144;87
ARRELLES;100;33.5;13.7;19.1;22.1;82;18;25100;67;CHAMPAGNE-ARDENNE;417;10;48.0462178704;4.27438158257;87
UPIE;1400;34.7;12.4;20.4;23.4;80;20;23800;68;RHONE-ALPES;410;26;44.7990451826;4.98046228806;87
BOUAFLES;700;33.5;13.9;18.2;22.5;83;17;25400;65;HAUTE-NORMANDIE;413;27;49.2013162618;1.38671055772;87
LAMANERE;100;34.9;13.5;21.7;21.8;80;20;23700;66;LANGUEDOC-ROUSSILLON;445;66;42.3581335381;2.51960965655;87
LARODDE;300;34.0;13.1;16.6;23.7;73;27;25400;69;AUVERGNE;427;63;45.5243871141;2.55410927855;87
ESPENEL;100;34.6;15.7;19.5;23.1;85;15;25900;56;RHONE-ALPES;434;26;44.6853594311;5.23465969716;87
LE CASTELLARD-MELAN;100;34.4;13.6;18.8;21.1;90;10;23900;62;PROVENCE-ALPES-COTE D'AZUR;431;04;44.2016431995;6.13159521325;87
THUN-SAINT-MARTIN;500;32.2;17.5;15.5;24.1;83;17;25900;65;NORD-PAS-DE-CALAIS;449;59;50.218482215;3.30304020982;87
SAINT-BONNET-DE-MURE;6300;33.4;14.2;21.3;24.3;85;15;24100;66;RHONE-ALPES;432;69;45.6961833142;5.02220384173;87
COCURES;200;32.5;15.4;16.9;24.6;90;10;24100;66;LANGUEDOC-ROUSSILLON;418;48;44.3539456684;3.61955972065;86
LYAS;600;34.4;12.9;19.6;24.9;77;23;23200;66;RHONE-ALPES;416;07;44.7568405764;4.59691440375;86
ISSERPENT;500;34.1;13.4;19.6;23.9;86;14;25600;55;AUVERGNE;445;03;46.1542955213;3.61825876933;86
CLAIX;7600;34.6;16.2;15.9;23.7;78;22;25900;57;RHONE-ALPES;407;38;45.1224170897;5.65707336922;86
MARCELLUS;800;34.6;15.1;20.6;23.3;74;26;24800;61;AQUITAINE;429;47;44.4802329351;0.075926421979;86
BEZ-ET-ESPARON;400;34.7;16.2;21.7;22.0;85;15;24000;59;LANGUEDOC-ROUSSILLON;429;30;43.9789082922;3.5343559846;86
SOULTZBACH-LES-BAINS;700;33.6;13.6;19.2;23.9;88;12;23600;67;ALSACE;411;68;48.0284078615;7.20442898654;86
AIREL;500;34.6;12.7;20.9;22.0;72;28;25800;59;BASSE-NORMANDIE;441;50;49.2125093524;-1.08007866426;86
REULLE-VERGY;100;33.3;14.6;21.6;23.5;79;21;25500;61;BOURGOGNE;436;21;47.1883731781;4.89680427712;86
BERNIERES-SUR-MER;2400;33.5;15.2;20.4;22.5;82;18;25300;59;BASSE-NORMANDIE;449;14;49.3194698748;-0.417743184424;86
MIOS;6900;32.4;17.7;21.2;23.5;89;11;24500;66;AQUITAINE;418;33;44.6179149385;-0.895043516013;86
MUN;100;34.9;17.7;15.9;24.6;87;13;25800;53;MIDI-PYRENEES;426;65;43.2803464506;0.270777277359;86
TRIGNAC;7200;34.5;17.0;21.2;21.0;84;16;21200;64;PAYS DE LA LOIRE;436;44;47.3125328416;-2.20700045585;86
LES ALLEUX;100;35.0;14.9;15.3;20.6;74;26;23800;63;CHAMPAGNE-ARDENNE;445;08;49.4739898043;4.7425319416;86
BUTTEN;700;33.3;16.9;17.5;24.0;88;12;25000;65;ALSACE;404;67;48.9713955937;7.24356966874;86
AUCHONVILLERS;100;33.4;16.6;20.7;21.8;90;10;23000;68;PICARDIE;421;80;50.0820136591;2.63330936836;86
NEUVE-EGLISE;600;34.2;16.0;16.4;23.4;79;21;23600;64;ALSACE;431;67;48.3261151153;7.31059686746;86
GEISPOLSHEIM;7000;34.3;13.9;21.9;20.5;88;12;23200;61;ALSACE;421;67;48.5143463092;7.65806561244;86
NESCUS;100;31.5;17.8;17.7;21.2;84;16;25500;64;MIDI-PYRENEES;430;09;42.9917806971;1.43531153938;86
PORCARO;700;34.0;14.3;16.9;24.6;80;20;23400;66;BRETAGNE;410;56;47.9198730267;-2.19384701914;86
HOUSSAY;400;32.2;17.5;17.9;21.3;82;18;24900;65;CENTRE;439;41;47.7446954686;0.947069193008;86
FLACY;100;33.4;16.0;19.8;24.2;85;15;22800;69;BOURGOGNE;443;89;48.2122713686;3.58723474642;86
KINDWILLER;600;33.8;17.9;15.8;23.5;86;14;26000;54;ALSACE;427;67;48.8612754447;7.59545058526;86
PLANCHES;200;34.5;13.7;16.2;22.1;79;21;23800;60;BASSE-NORMANDIE;419;61;48.6898504724;0.377530769995;86
LA CROIX-AUX-BOIS;100;33.6;13.9;17.0;23.9;87;13;23200;67;CHAMPAGNE-ARDENNE;419;08;49.4054523521;4.78917859814;86
PUYMOYEN;2400;33.5;12.5;15.1;23.9;84;16;25500;57;POITOU-CHARENTES;415;16;45.6160185943;0.172580597742;86
CHAMP-D'OISEAU;100;33.1;17.4;18.4;23.0;79;21;23700;68;BOURGOGNE;444;21;47.5549844256;4.34798073365;86
EDERN;2100;32.4;12.5;18.4;25.0;88;12;24900;68;BRETAGNE;425;29;48.1199968279;-3.96022667408;86
SAINT-DOMINEUC;2200;34.7;13.9;20.3;23.9;89;11;25600;54;BRETAGNE;436;35;48.3604701508;-1.86929825665;86
MOLOY;200;33.1;17.3;16.5;25.0;73;27;25300;68;BOURGOGNE;437;21;47.5393714062;4.92171403878;86
RAZAC-DE-SAUSSIGNAC;400;34.2;15.7;20.7;21.3;78;22;24600;60;AQUITAINE;449;24;44.8135434686;0.290129313866;86
CANAPLES;600;33.5;17.7;16.1;23.8;72;28;25000;68;PICARDIE;435;80;50.0613505846;2.2308855769;86
EUVEZIN;100;34.8;16.1;21.8;20.9;78;22;24300;65;LORRAINE;407;54;48.9198099623;5.8592491591;86
BASSIGNAC;200;34.5;16.9;15.4;23.7;85;15;25500;61;AUVERGNE;396;15;45.3148849641;2.40014280339;86
SAINT-JEAN-CAP-FERRAT;2000;34.2;14.6;15.6;24.3;90;10;25300;65;PROVENCE-ALPES-COTE D'AZUR;393;06;43.687178893;7.32993632437;86
SEPTEMES-LES-VALLONS;10600;35.0;13.6;20.6;23.7;85;15;25700;50;PROVENCE-ALPES-COTE D'AZUR;437;13;43.3934944571;5.3808040555;86
BEUGNY;400;35.0;17.3;21.3;21.4;84;16;23900;57;NORD-PAS-DE-CALAIS;434;62;50.1183185417;2.93213204111;86
ROCHONVILLERS;200;34.6;12.9;20.0;22.2;72;28;25400;66;LORRAINE;413;57;49.4096487557;6.02717195246;86
SERCUS;400;33.9;14.6;17.3;20.7;89;11;24600;61;NORD-PAS-DE-CALAIS;417;59;50.7083527622;2.45193657383;86
